Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,My Review,Read Count
6450416,Comfort: A Journey Through Grief,Ann Hood,039333659X,9780393336597,4,4.18,W. W. Norton & Company,Paperback,194,2009,27-01-18,22-01-18,holly-golightly,,1
33830437,Far from the Tree,Robin Benway,0062330624,9780062330628,4,4.28,HarperTeen,Hardcover,374,2017,21-01-18,10-01-18,holly-golightly,,1
77013,As I Lay Dying,William Faulkner,,,1,3.72,Vintage,Paperback,288,1991,14-01-18,06-01-18,,,1
37793,A Doll's House,Henrik Ibsen,1406914835,9781406914832,4,3.75,Hard Press,Paperback,122,2007,30-12-17,25-12-17,holly-golightly,,1
34144464,The Chaos of Standing Still,Jessica Brody,1481499181,9781481499187,0,3.87,Simon Pulse,Hardcover,406,2017,,25-12-17,to-read,,0
6288481,Highly Effective Networking: Meet the Right People and Get a Great Job,Orville Pierson,1601630506,9781601630506,0,3.51,Career Press,Paperback,224,2009,,24-12-17,to-read,,0
2110533,Now What?: The Young Person's Guide to Choosing the Perfect Career,Nicholas Lore,0743266307,9780743266307,0,3.84,Touchstone,Paperback,352,2008,,24-12-17,to-read,,0
29385546,"Warcross (Warcross, #1)",Marie Lu,0399547967,9780399547966,5,4.15,G.P. Putnam’s Sons Books for Young Readers,Hardcover,353,2017,22-12-17,07-12-17,breakfast-at-tiffany-s,,1
25614492,Salt to the Sea,Ruta Sepetys,,,5,4.35,Philomel Books,Hardcover,391,2016,23-11-17,24-11-16,breakfast-at-tiffany-s,,1
25893579,Denton Little's Deathdate (Denton Little #1),Lance   Rubin,0553496999,9780553496994,2,3.83,Ember,Paperback,352,2017,11-11-17,02-11-17,mount-crumpit,,1
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,1101885939,9781101885932,0,4.1,Del Rey Books,Hardcover,319,2017,,02-11-17,to-read,,0
30267929,We Were the Lucky Ones,Georgia Hunter,0399563083,9780399563089,0,4.39,Viking,Hardcover,403,2017,,02-11-17,to-read,,0
35606560,The Sun and Her Flowers,Rupi Kaur,1449486797,9781449486792,0,4.12,Andrews McMeel Publishing,Paperback,256,2017,,02-11-17,to-read,,0
30038960,"Insomniac City: New York, Oliver, and Me",Bill Hayes,1620404931,9781620404935,0,4.42,Bloomsbury USA,Hardcover,294,2017,,02-11-17,to-read,,0
30649506,At Home in the World: Reflections on Belonging While Wandering the Globe,Tsh Oxenreider,140020559X,9781400205592,0,4.04,Thomas Nelson,Hardcover,288,2017,,02-11-17,to-read,,0
34273236,Little Fires Everywhere,Celeste Ng,0735224293,9780735224292,0,4.09,Penguin Press,Hardcover,338,2017,,02-11-17,to-read,,0
15638,Cyrano de Bergerac,Edmond Rostand,0451528921,9780451528926,4,4.06,Signet Classics,Paperback,240,2003,25-10-17,21-10-17,holly-golightly,,1
23149128,Extraordinary Means,Robyn Schneider,006221716X,9780062217165,5,3.94,Katherine Tegen Books,Hardcover,336,2015,22-10-17,29-06-17,breakfast-at-tiffany-s,,1
32025255,Tell Me Three Things,Julie Buxbaum,0553535676,9780553535679,5,4.06,Ember,Paperback,352,2017,06-10-17,06-10-17,breakfast-at-tiffany-s,,1
30199656,What to Say Next,Julie Buxbaum,0553535684,9780553535686,0,4.01,Delacorte Press,Hardcover,320,2017,,06-10-17,to-read,,0
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,,,3,4.08,Simon & Schuster Books for Young Readers,Hardcover,355,2014,30-09-17,27-05-17,holly-golightly,,1
17234658,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,0062278967,9780062278968,4,3.9,Harper Teen,Hardcover,368,2014,17-09-17,14-01-17,breakfast-at-tiffany-s,,1
17287009,Humans of New York,Brandon Stanton,1250038820,9781250038821,0,4.49,St. Martin's Press,Hardcover,304,2013,,09-09-17,to-read,,0
28763485,The Sun Is Also a Star,Nicola Yoon,0553496689,9780553496680,5,4.02,Delacorte Press,Hardcover,384,2016,09-09-17,24-11-16,breakfast-at-tiffany-s,,1
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,,,4,4.5,Balzer + Bray,Hardcover,454,2017,03-09-17,15-04-17,holly-golightly,,1
25785649,The Way I Used to Be,Amber   Smith,1481449354,9781481449359,4,4.19,Margaret K. McElderry Books,Hardcover,367,2016,20-08-17,19-08-17,breakfast-at-tiffany-s,,1
25756328,"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,1481432540,9781481432542,0,4.13,Simon Pulse,Hardcover,389,2016,,19-08-17,to-read,,0
5148,A Separate Peace,John Knowles,,,3,3.59,Scribner,Paperback,208,2003,17-08-17,27-05-17,mount-crumpit,,1
17333223,The Goldfinch,Donna Tartt,0316055433,9780316055437,0,3.92,"Little, Brown",Hardcover,771,2013,,13-08-17,to-read,,0
33950893,Thirteen Reasons Why,Jay Asher,0141387777,9780141387772,5,3.87,Penguin,Paperback,320,2017,22-07-17,22-07-17,breakfast-at-tiffany-s,,1
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,1443442313,9781443442312,0,4.08,Collins,Hardcover,277,2016,,11-07-17,to-read,,0
17657148,You'll Get Through This: Hope and Help for Your Turbulent Times,Max Lucado,0849948479,9780849948473,0,4.32,Thomas Nelson,Hardcover,240,2013,,11-07-17,to-read,,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,0743269519,9780743269513,0,4.14,Free Press,Paperback,372,2004,,11-07-17,to-read,,0
4406,East of Eden,John Steinbeck,0142000655,9780142000656,0,4.39,Penguin Books,Paperback,601,2002,,11-07-17,to-read,,0
28449207,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,0316341681,9780316341684,0,4.28,"Little, Brown Books for Young Readers",Hardcover,544,2017,,10-07-17,to-read,,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,0765376458,9780765376459,0,4.07,Tor Books,Hardcover,400,2015,,10-07-17,to-read,,0
17675462,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,0545424925,9780545424929,0,4.05,Scholastic Press,Hardcover,409,2012,,10-07-17,to-read,,0
18692431,"Everything, Everything",Nicola Yoon,0553496646,9780553496642,4,4.01,Delacorte Books for Young Readers,Hardcover,312,2015,22-04-17,30-12-16,holly-golightly,,1
9361589,The Night Circus,Erin Morgenstern,0385534635,9780385534635,0,4.03,Doubleday,Hardcover,387,2011,,10-07-17,to-read,,0
17162,"The Chocolate War (Chocolate War, #1)",Robert Cormier,0375829873,,2,3.5,Ember,Paperback,267,2004,01-07-17,27-05-17,mount-crumpit,,1
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,0393339750,9780393339758,0,3.89,W. W. Norton  Company,Paperback,280,2011,,29-06-17,to-read,,0
25908867,Some Thoughts About Relationships,Colin Wright,,,0,4.08,Asymmetrical Press,Kindle Edition,105,2015,,26-06-17,to-read,,0
26987221,The Art of Tidying Up,Kim Carruthers,,,0,3.5,Ventura Press,Kindle Edition,282,2015,,24-06-17,to-read,,0
25778246,Essential: Essays by The Minimalists,Joshua Fields Millburn,,9781936539451,0,3.83,Asymmetrical Press,Paperback,334,2015,,23-06-17,to-read,,0
13185350,Minimalism: Live a Meaningful Life,Joshua Fields Millburn,,,0,3.7,Mins Publishing,Kindle Edition,138,2011,,23-06-17,to-read,,0
20370505,Everything That Remains: A Memoir by the Minimalists,Joshua Fields Millburn,1938793188,9781938793189,0,3.81,Asymmetrical Press,Paperback,234,2013,,23-06-17,to-read,,0
22557272,The Girl on the Train,Paula Hawkins,1594633665,9781594633669,0,3.95,Riverhead Books,Hardcover,325,2015,,27-05-17,to-read,,0
32076678,The Fact of a Body: A Murder and a Memoir,Alexandria Marzano-Lesnevich,1250080541,9781250080547,0,3.8,Flatiron Books,Hardcover,326,2017,,27-05-17,to-read,,0
23513349,Milk and Honey,Rupi Kaur,1502784270,9781502784278,5,4.02,Createspace,Paperback,204,2014,16-05-17,29-12-16,breakfast-at-tiffany-s,,1
21943246,Black Ice,Becca Fitzpatrick,1442474289,9781442474284,4,3.87,Simon  Schuster Books for Young Readers,ebook,400,2014,11-05-17,08-07-16,holly-golightly,,1
34627187,Finding Gobi: The True Story of a Little Dog and an Incredible Journey,Dion Leonard,,,0,4.15,HarperCollins,Kindle Edition,239,2017,,06-05-17,to-read,,0
